Fold,RF_Accuracy,RF_Precision,RF_Recall,RF_F1,RF_ROC_AUC,LR_Accuracy,LR_Precision,LR_Recall,LR_F1,LR_ROC_AUC
1,0.8110795454545454,0.6115702479338843,0.7914438502673797,0.6899766899766899,0.8689943007271486,0.8110795454545454,0.6708860759493671,0.5668449197860963,0.6144927536231884,0.8594886169695589
2,0.7457386363636364,0.5153846153846153,0.7165775401069518,0.5995525727069351,0.8352279191965163,0.7954545454545454,0.6335403726708074,0.5454545454545454,0.5862068965517241,0.8284425780159083
3,0.7610241820768137,0.5375,0.6935483870967742,0.6056338028169014,0.8319606497369023,0.7980085348506402,0.6466666666666666,0.521505376344086,0.5773809523809523,0.8355795428547659
4,0.7667140825035562,0.5469387755102041,0.7165775401069518,0.6203703703703703,0.8420698088960743,0.8079658605974396,0.6688311688311688,0.5508021390374331,0.6041055718475073,0.8373543920739543
5,0.7752489331436699,0.5568627450980392,0.7593582887700535,0.6425339366515838,0.8467126808440076,0.8122332859174964,0.6608187134502924,0.6042780748663101,0.6312849162011173,0.8435828877005347
6,0.7780938833570412,0.5643153526970954,0.7272727272727273,0.6355140186915887,0.8502881067860548,0.7994310099573257,0.6716417910447762,0.48128342245989303,0.5607476635514018,0.8471583136425819
7,0.7524893314366998,0.5258964143426295,0.7058823529411765,0.6027397260273972,0.8250010363553455,0.7752489331436699,0.5911949685534591,0.5026737967914439,0.5433526011560693,0.8203374373005015
8,0.7894736842105263,0.5809128630705395,0.7486631016042781,0.6542056074766355,0.861247564564938,0.813655761024182,0.6707317073170732,0.5882352941176471,0.6267806267806267,0.8596049413422875
9,0.7809388335704125,0.5647058823529412,0.7700534759358288,0.6515837104072398,0.8525214525556523,0.8065433854907539,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.8548895245201674
10,0.7738264580369844,0.5578512396694215,0.7219251336898396,0.6293706293706294,0.8380902043692742,0.802275960170697,0.6643835616438356,0.5187165775401069,0.5825825825825826,0.8410334535505534
